provinsi,wilayah,tahun_tanggal,positif_covid,kematian
Queensland,Australia,2020-02-10,5,0
New South Wales,Australia,2020-02-10,4,0
Victoria,Australia,2020-02-10,4,0
South Australia,Australia,2020-02-10,2,0
Queensland,Australia,2020-02-11,5,0
New South Wales,Australia,2020-02-11,4,0
Victoria,Australia,2020-02-11,4,0
South Australia,Australia,2020-02-11,2,0
Queensland,Australia,2020-02-12,5,0
New South Wales,Australia,2020-02-12,4,0
Victoria,Australia,2020-02-12,4,0
South Australia,Australia,2020-02-12,2,0
Queensland,Australia,2020-02-13,5,0
New South Wales,Australia,2020-02-13,4,0
Victoria,Australia,2020-02-13,4,0
South Australia,Australia,2020-02-13,2,0
Queensland,Australia,2020-02-14,5,0
New South Wales,Australia,2020-02-14,4,0
Victoria,Australia,2020-02-14,4,0
South Australia,Australia,2020-02-14,2,0
Queensland,Australia,2020-02-15,5,0
New South Wales,Australia,2020-02-15,4,0
Victoria,Australia,2020-02-15,4,0
South Australia,Australia,2020-02-15,2,0
Queensland,Australia,2020-02-16,5,0
New South Wales,Australia,2020-02-16,4,0
Victoria,Australia,2020-02-16,4,0
South Australia,Australia,2020-02-16,2,0
Queensland,Australia,2020-02-17,5,0
New South Wales,Australia,2020-02-17,4,0
Victoria,Australia,2020-02-17,4,0
South Australia,Australia,2020-02-17,2,0
Queensland,Australia,2020-02-18,5,0
New South Wales,Australia,2020-02-18,4,0
Victoria,Australia,2020-02-18,4,0
South Australia,Australia,2020-02-18,2,0
Queensland,Australia,2020-02-19,5,0
New South Wales,Australia,2020-02-19,4,0
Victoria,Australia,2020-02-19,4,0
South Australia,Australia,2020-02-19,2,0
Queensland,Australia,2020-02-20,5,0
New South Wales,Australia,2020-02-20,4,0
Victoria,Australia,2020-02-20,4,0
South Australia,Australia,2020-02-20,2,0
Queensland,Australia,2020-02-21,5,0
From Diamond Princess,Australia,2020-02-21,4,0
New South Wales,Australia,2020-02-21,4,0
Victoria,Australia,2020-02-21,4,0
South Australia,Australia,2020-02-21,2,0
From Diamond Princess,Australia,2020-02-22,7,0
Queensland,Australia,2020-02-22,5,0
New South Wales,Australia,2020-02-22,4,0
Victoria,Australia,2020-02-22,4,0
South Australia,Australia,2020-02-22,2,0
From Diamond Princess,Australia,2020-02-23,7,0
Queensland,Australia,2020-02-23,5,0
New South Wales,Australia,2020-02-23,4,0
Victoria,Australia,2020-02-23,4,0
South Australia,Australia,2020-02-23,2,0
From Diamond Princess,Australia,2020-02-24,7,0
Queensland,Australia,2020-02-24,5,0
New South Wales,Australia,2020-02-24,4,0
Victoria,Australia,2020-02-24,4,0
South Australia,Australia,2020-02-24,2,0
From Diamond Princess,Australia,2020-02-25,7,0
Queensland,Australia,2020-02-25,5,0
New South Wales,Australia,2020-02-25,4,0
Victoria,Australia,2020-02-25,4,0
South Australia,Australia,2020-02-25,2,0
From Diamond Princess,Australia,2020-02-26,7,0
Queensland,Australia,2020-02-26,5,0
New South Wales,Australia,2020-02-26,4,0
Victoria,Australia,2020-02-26,4,0
South Australia,Australia,2020-02-26,2,0
From Diamond Princess,Australia,2020-02-27,8,0
Queensland,Australia,2020-02-27,5,0
New South Wales,Australia,2020-02-27,4,0
Victoria,Australia,2020-02-27,4,0
South Australia,Australia,2020-02-27,2,0
From Diamond Princess,Australia,2020-02-28,8,0
Queensland,Australia,2020-02-28,5,0
New South Wales,Australia,2020-02-28,4,0
Victoria,Australia,2020-02-28,4,0
South Australia,Australia,2020-02-28,2,0
Queensland,Australia,2020-02-29,9,0
Victoria,Australia,2020-02-29,7,0
New South Wales,Australia,2020-02-29,4,0
South Australia,Australia,2020-02-29,3,0
Western Australia,Australia,2020-02-29,2,0
From Diamond Princess,Australia,2020-02-29,0,0
Queensland,Australia,2020-03-01,9,0
Victoria,Australia,2020-03-01,7,0
New South Wales,Australia,2020-03-01,6,0
South Australia,Australia,2020-03-01,3,0
Western Australia,Australia,2020-03-01,2,1
From Diamond Princess,Australia,2020-03-01,0,0
Queensland,Australia,2020-03-02,9,0
Victoria,Australia,2020-03-02,9,0
New South Wales,Australia,2020-03-02,6,0
South Australia,Australia,2020-03-02,3,0
Western Australia,Australia,2020-03-02,2,1
Tasmania,Australia,2020-03-02,1,0
From Diamond Princess,Australia,2020-03-02,0,0
New South Wales,Australia,2020-03-03,13,0
Queensland,Australia,2020-03-03,11,0
Victoria,Australia,2020-03-03,9,0
South Australia,Australia,2020-03-03,3,0
Western Australia,Australia,2020-03-03,2,1
Tasmania,Australia,2020-03-03,1,0
From Diamond Princess,Australia,2020-03-03,0,0
New South Wales,Australia,2020-03-04,22,1
Queensland,Australia,2020-03-04,11,0
Victoria,Australia,2020-03-04,10,0
South Australia,Australia,2020-03-04,5,0
Western Australia,Australia,2020-03-04,2,1
Northern Territory,Australia,2020-03-04,1,0
Tasmania,Australia,2020-03-04,1,0
From Diamond Princess,Australia,2020-03-04,0,0
New South Wales,Australia,2020-03-05,22,1
Queensland,Australia,2020-03-05,13,0
Victoria,Australia,2020-03-05,10,0
South Australia,Australia,2020-03-05,5,0
Western Australia,Australia,2020-03-05,3,1
Northern Territory,Australia,2020-03-05,1,0
Tasmania,Australia,2020-03-05,1,0
From Diamond Princess,Australia,2020-03-05,0,0
New South Wales,Australia,2020-03-06,26,1
Queensland,Australia,2020-03-06,13,0
Victoria,Australia,2020-03-06,10,0
South Australia,Australia,2020-03-06,7,0
Western Australia,Australia,2020-03-06,3,1
Tasmania,Australia,2020-03-06,1,0
From Diamond Princess,Australia,2020-03-06,0,0
Northern Territory,Australia,2020-03-06,0,0
New South Wales,Australia,2020-03-07,28,1
Queensland,Australia,2020-03-07,13,0
Victoria,Australia,2020-03-07,11,0
South Australia,Australia,2020-03-07,7,0
Western Australia,Australia,2020-03-07,3,1
Tasmania,Australia,2020-03-07,1,0
From Diamond Princess,Australia,2020-03-07,0,0
Northern Territory,Australia,2020-03-07,0,0
New South Wales,Australia,2020-03-08,38,3
Queensland,Australia,2020-03-08,15,0
Victoria,Australia,2020-03-08,11,0
South Australia,Australia,2020-03-08,7,0
Western Australia,Australia,2020-03-08,3,1
Tasmania,Australia,2020-03-08,2,0
From Diamond Princess,Australia,2020-03-08,0,0
Northern Territory,Australia,2020-03-08,0,0
New South Wales,Australia,2020-03-09,48,3
Queensland,Australia,2020-03-09,15,0
Victoria,Australia,2020-03-09,15,0
South Australia,Australia,2020-03-09,7,0
Western Australia,Australia,2020-03-09,4,1
Tasmania,Australia,2020-03-09,2,0
From Diamond Princess,Australia,2020-03-09,0,0
Northern Territory,Australia,2020-03-09,0,0
New South Wales,Australia,2020-03-10,55,2
Queensland,Australia,2020-03-10,18,0
Victoria,Australia,2020-03-10,18,0
South Australia,Australia,2020-03-10,7,0
Western Australia,Australia,2020-03-10,6,1
Tasmania,Australia,2020-03-10,2,0
Northern Territory,Australia,2020-03-10,1,0
From Diamond Princess,Australia,2020-03-10,0,0
New South Wales,Australia,2020-03-11,65,2
Victoria,Australia,2020-03-11,21,0
Queensland,Australia,2020-03-11,20,0
South Australia,Australia,2020-03-11,9,0
Western Australia,Australia,2020-03-11,9,1
Tasmania,Australia,2020-03-11,3,0
Northern Territory,Australia,2020-03-11,1,0
From Diamond Princess,Australia,2020-03-11,0,0
New South Wales,Australia,2020-03-12,65,2
Victoria,Australia,2020-03-12,21,0
Queensland,Australia,2020-03-12,20,0
South Australia,Australia,2020-03-12,9,0
Western Australia,Australia,2020-03-12,9,1
Tasmania,Australia,2020-03-12,3,0
Northern Territory,Australia,2020-03-12,1,0
From Diamond Princess,Australia,2020-03-12,0,0
Tasmania,Australia,2020-03-13,5,0
New South Wales,Australia,2020-03-13,92,2
Victoria,Australia,2020-03-13,36,0
Queensland,Australia,2020-03-13,35,0
South Australia,Australia,2020-03-13,16,0
Australian Capital Territory,Australia,2020-03-13,1,0
From Diamond Princess,Australia,2020-03-13,0,0
Western Australia,Australia,2020-03-13,14,1
Northern Territory,Australia,2020-03-13,1,0
New South Wales,Australia,2020-03-14,112,2
Victoria,Australia,2020-03-14,49,0
Queensland,Australia,2020-03-14,46,0
South Australia,Australia,2020-03-14,19,0
Western Australia,Australia,2020-03-14,17,1
Tasmania,Australia,2020-03-14,5,0
Australian Capital Territory,Australia,2020-03-14,1,0
Northern Territory,Australia,2020-03-14,1,0
From Diamond Princess,Australia,2020-03-14,0,0
New South Wales,Australia,2020-03-15,134,2
Queensland,Australia,2020-03-15,61,0
Victoria,Australia,2020-03-15,57,0
South Australia,Australia,2020-03-15,20,0
Western Australia,Australia,2020-03-15,17,1
Tasmania,Australia,2020-03-15,6,0
Australian Capital Territory,Australia,2020-03-15,1,0
Northern Territory,Australia,2020-03-15,1,0
From Diamond Princess,Australia,2020-03-15,0,0
New South Wales,Australia,2020-03-16,171,2
Victoria,Australia,2020-03-16,71,0
Queensland,Australia,2020-03-16,68,0
South Australia,Australia,2020-03-16,29,0
Western Australia,Australia,2020-03-16,28,1
Tasmania,Australia,2020-03-16,7,0
Australian Capital Territory,Australia,2020-03-16,2,0
Northern Territory,Australia,2020-03-16,1,0
From Diamond Princess,Australia,2020-03-16,0,0
New South Wales,Australia,2020-03-17,210,4
Victoria,Australia,2020-03-17,94,0
Queensland,Australia,2020-03-17,78,0
Western Australia,Australia,2020-03-17,31,1
South Australia,Australia,2020-03-17,29,0
Tasmania,Australia,2020-03-17,7,0
Australian Capital Territory,Australia,2020-03-17,2,0
Northern Territory,Australia,2020-03-17,1,0
From Diamond Princess,Australia,2020-03-17,0,0
New South Wales,Australia,2020-03-18,267,5
Victoria,Australia,2020-03-18,121,0
Queensland,Australia,2020-03-18,94,0
South Australia,Australia,2020-03-18,37,0
Western Australia,Australia,2020-03-18,35,1
Tasmania,Australia,2020-03-18,10,0
Australian Capital Territory,Australia,2020-03-18,3,0
Northern Territory,Australia,2020-03-18,1,0
From Diamond Princess,Australia,2020-03-18,0,0
New South Wales,Australia,2020-03-19,307,5
Queensland,Australia,2020-03-19,144,0
Victoria,Australia,2020-03-19,121,0
Western Australia,Australia,2020-03-19,52,1
South Australia,Australia,2020-03-19,42,0
Tasmania,Australia,2020-03-19,10,0
Australian Capital Territory,Australia,2020-03-19,4,0
Northern Territory,Australia,2020-03-19,1,0
From Diamond Princess,Australia,2020-03-19,0,0
New South Wales,Australia,2020-03-20,353,6
Queensland,Australia,2020-03-20,184,0
Victoria,Australia,2020-03-20,121,0
Western Australia,Australia,2020-03-20,64,1
South Australia,Australia,2020-03-20,50,0
Tasmania,Australia,2020-03-20,10,0
Australian Capital Territory,Australia,2020-03-20,6,0
Northern Territory,Australia,2020-03-20,3,0
From Diamond Princess,Australia,2020-03-20,0,0
New South Wales,Australia,2020-03-21,436,6
Victoria,Australia,2020-03-21,229,0
Queensland,Australia,2020-03-21,221,0
Western Australia,Australia,2020-03-21,90,1
South Australia,Australia,2020-03-21,67,0
Tasmania,Australia,2020-03-21,16,0
Australian Capital Territory,Australia,2020-03-21,9,0
Northern Territory,Australia,2020-03-21,3,0
From Diamond Princess,Australia,2020-03-21,0,0
New South Wales,Australia,2020-03-22,669,6
Victoria,Australia,2020-03-22,296,0
Queensland,Australia,2020-03-22,259,0
Western Australia,Australia,2020-03-22,120,1
South Australia,Australia,2020-03-22,100,0
Tasmania,Australia,2020-03-22,22,0
Australian Capital Territory,Australia,2020-03-22,19,0
Northern Territory,Australia,2020-03-22,5,0
External territories,Australia,2020-03-22,0,0
Jervis Bay Territory,Australia,2020-03-22,0,0
Australian Capital Territory,Australia,2020-03-23,32,0
New South Wales,Australia,2020-03-23,669,6
Northern Territory,Australia,2020-03-23,5,0
Queensland,Australia,2020-03-23,319,0
South Australia,Australia,2020-03-23,134,0
Tasmania,Australia,2020-03-23,28,0
Victoria,Australia,2020-03-23,355,0
Western Australia,Australia,2020-03-23,140,1
Australian Capital Territory,Australia,2020-03-24,39,0
New South Wales,Australia,2020-03-24,818,7
Northern Territory,Australia,2020-03-24,6,0
Queensland,Australia,2020-03-24,397,0
South Australia,Australia,2020-03-24,170,0
Tasmania,Australia,2020-03-24,28,0
Victoria,Australia,2020-03-24,411,0
Western Australia,Australia,2020-03-24,175,1
Australian Capital Territory,Australia,2020-03-25,39,0
New South Wales,Australia,2020-03-25,1029,7
Northern Territory,Australia,2020-03-25,6,0
Queensland,Australia,2020-03-25,443,0
South Australia,Australia,2020-03-25,170,0
Tasmania,Australia,2020-03-25,36,0
Victoria,Australia,2020-03-25,466,0
Western Australia,Australia,2020-03-25,175,1
Australian Capital Territory,Australia,2020-03-26,53,0
New South Wales,Australia,2020-03-26,1219,7
Northern Territory,Australia,2020-03-26,12,0
Queensland,Australia,2020-03-26,493,1
South Australia,Australia,2020-03-26,235,0
Tasmania,Australia,2020-03-26,47,0
Victoria,Australia,2020-03-26,520,3
Western Australia,Australia,2020-03-26,231,2
Australian Capital Territory,Australia,2020-03-27,62,0
New South Wales,Australia,2020-03-27,1405,7
Northern Territory,Australia,2020-03-27,12,0
Queensland,Australia,2020-03-27,555,1
South Australia,Australia,2020-03-27,257,0
Tasmania,Australia,2020-03-27,47,0
Victoria,Australia,2020-03-27,574,3
Western Australia,Australia,2020-03-27,231,2
Australian Capital Territory,Australia,2020-03-28,71,0
New South Wales,Australia,2020-03-28,1617,8
Northern Territory,Australia,2020-03-28,15,0
Queensland,Australia,2020-03-28,625,1
South Australia,Australia,2020-03-28,287,0
Tasmania,Australia,2020-03-28,62,0
Victoria,Australia,2020-03-28,685,3
Western Australia,Australia,2020-03-28,278,2
Australian Capital Territory,Australia,2020-03-29,77,0
New South Wales,Australia,2020-03-29,1791,8
Northern Territory,Australia,2020-03-29,15,0
Queensland,Australia,2020-03-29,656,2
South Australia,Australia,2020-03-29,299,0
Tasmania,Australia,2020-03-29,66,0
Victoria,Australia,2020-03-29,769,4
Western Australia,Australia,2020-03-29,311,2
Australian Capital Territory,Australia,2020-03-30,78,1
New South Wales,Australia,2020-03-30,2032,8
Northern Territory,Australia,2020-03-30,15,0
Queensland,Australia,2020-03-30,689,2
South Australia,Australia,2020-03-30,305,0
Tasmania,Australia,2020-03-30,66,0
Victoria,Australia,2020-03-30,821,4
Western Australia,Australia,2020-03-30,355,2
Australian Capital Territory,Australia,2020-03-31,80,1
New South Wales,Australia,2020-03-31,2032,8
Northern Territory,Australia,2020-03-31,17,0
Queensland,Australia,2020-03-31,743,2
South Australia,Australia,2020-03-31,337,0
Tasmania,Australia,2020-03-31,69,1
Victoria,Australia,2020-03-31,917,4
Western Australia,Australia,2020-03-31,364,2
Australian Capital Territory,Australia,2020-04-01,84,1
New South Wales,Australia,2020-04-01,2182,9
Northern Territory,Australia,2020-04-01,19,0
Queensland,Australia,2020-04-01,781,2
South Australia,Australia,2020-04-01,367,0
Tasmania,Australia,2020-04-01,69,2
Victoria,Australia,2020-04-01,968,4
Western Australia,Australia,2020-04-01,392,2
Australian Capital Territory,Australia,2020-04-02,87,1
New South Wales,Australia,2020-04-02,2298,10
Northern Territory,Australia,2020-04-02,21,0
Queensland,Australia,2020-04-02,835,4
South Australia,Australia,2020-04-02,367,0
Tasmania,Australia,2020-04-02,72,2
Victoria,Australia,2020-04-02,1036,5
Western Australia,Australia,2020-04-02,400,2
Australian Capital Territory,Australia,2020-04-03,91,1
New South Wales,Australia,2020-04-03,2389,12
Northern Territory,Australia,2020-04-03,22,0
Queensland,Australia,2020-04-03,873,4
South Australia,Australia,2020-04-03,396,0
Tasmania,Australia,2020-04-03,74,2
Victoria,Australia,2020-04-03,1085,7
Western Australia,Australia,2020-04-03,400,2
Australian Capital Territory,Australia,2020-04-04,93,2
New South Wales,Australia,2020-04-04,2493,12
Northern Territory,Australia,2020-04-04,26,0
Queensland,Australia,2020-04-04,900,4
South Australia,Australia,2020-04-04,407,0
Tasmania,Australia,2020-04-04,80,2
Victoria,Australia,2020-04-04,1115,8
Western Australia,Australia,2020-04-04,436,2
Australian Capital Territory,Australia,2020-04-05,96,2
New South Wales,Australia,2020-04-05,2580,16
Northern Territory,Australia,2020-04-05,27,0
Queensland,Australia,2020-04-05,907,4
South Australia,Australia,2020-04-05,407,0
Tasmania,Australia,2020-04-05,82,2
Victoria,Australia,2020-04-05,1135,8
Western Australia,Australia,2020-04-05,453,3
Australian Capital Territory,Australia,2020-04-06,96,2
New South Wales,Australia,2020-04-06,2637,18
Northern Territory,Australia,2020-04-06,28,0
Queensland,Australia,2020-04-06,921,4
South Australia,Australia,2020-04-06,411,0
Tasmania,Australia,2020-04-06,86,2
Victoria,Australia,2020-04-06,1158,10
Western Australia,Australia,2020-04-06,460,4
Australian Capital Territory,Australia,2020-04-07,96,2
New South Wales,Australia,2020-04-07,2686,21
Northern Territory,Australia,2020-04-07,28,0
Queensland,Australia,2020-04-07,934,4
South Australia,Australia,2020-04-07,411,1
Tasmania,Australia,2020-04-07,89,2
Victoria,Australia,2020-04-07,1191,11
Western Australia,Australia,2020-04-07,460,4
Australian Capital Territory,Australia,2020-04-08,99,2
New South Wales,Australia,2020-04-08,2734,21
Northern Territory,Australia,2020-04-08,28,0
Queensland,Australia,2020-04-08,943,4
South Australia,Australia,2020-04-08,415,2
Tasmania,Australia,2020-04-08,98,3
Victoria,Australia,2020-04-08,1212,12
Western Australia,Australia,2020-04-08,481,6
Australian Capital Territory,Australia,2020-04-09,100,2
New South Wales,Australia,2020-04-09,2773,21
Northern Territory,Australia,2020-04-09,28,0
Queensland,Australia,2020-04-09,953,4
South Australia,Australia,2020-04-09,420,3
Tasmania,Australia,2020-04-09,111,3
Victoria,Australia,2020-04-09,1228,12
Western Australia,Australia,2020-04-09,495,6
Australian Capital Territory,Australia,2020-04-10,103,2
New South Wales,Australia,2020-04-10,2822,22
Northern Territory,Australia,2020-04-10,28,0
Queensland,Australia,2020-04-10,965,4
South Australia,Australia,2020-04-10,428,3
Tasmania,Australia,2020-04-10,122,4
Victoria,Australia,2020-04-10,1241,13
Western Australia,Australia,2020-04-10,506,6
Australian Capital Territory,Australia,2020-04-11,103,2
New South Wales,Australia,2020-04-11,2857,23
Northern Territory,Australia,2020-04-11,28,0
Queensland,Australia,2020-04-11,974,5
South Australia,Australia,2020-04-11,429,3
Tasmania,Australia,2020-04-11,133,4
Victoria,Australia,2020-04-11,1265,14
Western Australia,Australia,2020-04-11,514,6
Australian Capital Territory,Australia,2020-04-12,103,2
New South Wales,Australia,2020-04-12,2857,24
Northern Territory,Australia,2020-04-12,28,0
Queensland,Australia,2020-04-12,983,5
South Australia,Australia,2020-04-12,429,4
Tasmania,Australia,2020-04-12,133,5
Victoria,Australia,2020-04-12,1268,14
Western Australia,Australia,2020-04-12,514,6
Australian Capital Territory,Australia,2020-04-13,102,2
New South Wales,Australia,2020-04-13,2863,25
Northern Territory,Australia,2020-04-13,28,0
Queensland,Australia,2020-04-13,987,5
South Australia,Australia,2020-04-13,429,4
Tasmania,Australia,2020-04-13,144,5
Victoria,Australia,2020-04-13,1281,14
Western Australia,Australia,2020-04-13,517,6
Australian Capital Territory,Australia,2020-04-14,103,2
New South Wales,Australia,2020-04-14,2870,25
Northern Territory,Australia,2020-04-14,28,0
Queensland,Australia,2020-04-14,998,5
South Australia,Australia,2020-04-14,433,4
Tasmania,Australia,2020-04-14,165,6
Victoria,Australia,2020-04-14,1291,14
Western Australia,Australia,2020-04-14,527,6
Australian Capital Territory,Australia,2020-04-15,103,3
New South Wales,Australia,2020-04-15,2886,25
Northern Territory,Australia,2020-04-15,28,0
Queensland,Australia,2020-04-15,999,5
South Australia,Australia,2020-04-15,433,4
Tasmania,Australia,2020-04-15,165,6
Victoria,Australia,2020-04-15,1299,14
Western Australia,Australia,2020-04-15,527,6
Australian Capital Territory,Australia,2020-04-16,103,3
New South Wales,Australia,2020-04-16,2897,25
Northern Territory,Australia,2020-04-16,28,0
Queensland,Australia,2020-04-16,1001,5
South Australia,Australia,2020-04-16,433,4
Tasmania,Australia,2020-04-16,169,6
Victoria,Australia,2020-04-16,1299,14
Western Australia,Australia,2020-04-16,532,6
Australian Capital Territory,Australia,2020-04-17,103,3
New South Wales,Australia,2020-04-17,2926,26
Northern Territory,Australia,2020-04-17,28,0
Queensland,Australia,2020-04-17,1007,5
South Australia,Australia,2020-04-17,435,4
Tasmania,Australia,2020-04-17,180,7
Victoria,Australia,2020-04-17,1302,14
Western Australia,Australia,2020-04-17,541,7
Australian Capital Territory,Australia,2020-04-18,103,3
New South Wales,Australia,2020-04-18,2926,26
Northern Territory,Australia,2020-04-18,28,0
Queensland,Australia,2020-04-18,1015,6
South Australia,Australia,2020-04-18,435,4
Tasmania,Australia,2020-04-18,180,7
Victoria,Australia,2020-04-18,1319,14
Western Australia,Australia,2020-04-18,541,7
Australian Capital Territory,Australia,2020-04-19,103,3
New South Wales,Australia,2020-04-19,2926,26
Northern Territory,Australia,2020-04-19,28,0
Queensland,Australia,2020-04-19,1015,6
South Australia,Australia,2020-04-19,435,4
Tasmania,Australia,2020-04-19,180,7
Victoria,Australia,2020-04-19,1319,14
Western Australia,Australia,2020-04-19,541,7
Australian Capital Territory,Australia,2020-04-20,103,3
New South Wales,Australia,2020-04-20,2926,26
Northern Territory,Australia,2020-04-20,28,0
Queensland,Australia,2020-04-20,1015,6
South Australia,Australia,2020-04-20,435,4
Tasmania,Australia,2020-04-20,180,7
Victoria,Australia,2020-04-20,1319,14
Western Australia,Australia,2020-04-20,541,7
Australian Capital Territory,Australia,2020-04-21,103,3
New South Wales,Australia,2020-04-21,2926,26
Northern Territory,Australia,2020-04-21,28,0
Queensland,Australia,2020-04-21,1015,6
South Australia,Australia,2020-04-21,435,4
Tasmania,Australia,2020-04-21,180,7
Victoria,Australia,2020-04-21,1319,14
Western Australia,Australia,2020-04-21,541,7
Australian Capital Territory,Australia,2020-04-22,103,3
New South Wales,Australia,2020-04-22,2926,26
Northern Territory,Australia,2020-04-22,28,0
Queensland,Australia,2020-04-22,1015,6
South Australia,Australia,2020-04-22,435,4
Tasmania,Australia,2020-04-22,180,7
Victoria,Australia,2020-04-22,1319,14
Western Australia,Australia,2020-04-22,541,7
Australian Capital Territory,Australia,2020-04-23,104,3
New South Wales,Australia,2020-04-23,2976,31
Northern Territory,Australia,2020-04-23,27,0
Queensland,Australia,2020-04-23,1026,6
South Australia,Australia,2020-04-23,438,4
Tasmania,Australia,2020-04-23,207,8
Victoria,Australia,2020-04-23,1337,16
Western Australia,Australia,2020-04-23,546,7
Australian Capital Territory,Australia,2020-04-24,105,3
New South Wales,Australia,2020-04-24,2982,33
Northern Territory,Australia,2020-04-24,28,0
Queensland,Australia,2020-04-24,1026,6
South Australia,Australia,2020-04-24,438,4
Tasmania,Australia,2020-04-24,207,9
Victoria,Australia,2020-04-24,1343,16
Western Australia,Australia,2020-04-24,548,8
Australian Capital Territory,Australia,2020-04-25,106,3
New South Wales,Australia,2020-04-25,2994,33
Northern Territory,Australia,2020-04-25,28,0
Queensland,Australia,2020-04-25,1026,6
South Australia,Australia,2020-04-25,438,4
Tasmania,Australia,2020-04-25,207,10
Victoria,Australia,2020-04-25,1346,16
Western Australia,Australia,2020-04-25,549,8
Australian Capital Territory,Australia,2020-04-26,106,3
New South Wales,Australia,2020-04-26,3002,34
Northern Territory,Australia,2020-04-26,28,0
Queensland,Australia,2020-04-26,1030,6
South Australia,Australia,2020-04-26,438,4
Tasmania,Australia,2020-04-26,212,11
Victoria,Australia,2020-04-26,1349,17
Western Australia,Australia,2020-04-26,549,8
Australian Capital Territory,Australia,2020-04-27,106,3
New South Wales,Australia,2020-04-27,3004,34
Northern Territory,Australia,2020-04-27,28,0
Queensland,Australia,2020-04-27,1033,6
South Australia,Australia,2020-04-27,438,4
Tasmania,Australia,2020-04-27,214,11
Victoria,Australia,2020-04-27,1349,17
Western Australia,Australia,2020-04-27,549,8
Australian Capital Territory,Australia,2020-04-28,106,3
New South Wales,Australia,2020-04-28,3016,39
Northern Territory,Australia,2020-04-28,28,0
Queensland,Australia,2020-04-28,1034,6
South Australia,Australia,2020-04-28,438,4
Tasmania,Australia,2020-04-28,218,11
Victoria,Australia,2020-04-28,1354,18
Western Australia,Australia,2020-04-28,550,8
Australian Capital Territory,Australia,2020-04-29,106,3
New South Wales,Australia,2020-04-29,3016,40
Northern Territory,Australia,2020-04-29,28,0
Queensland,Australia,2020-04-29,1033,6
South Australia,Australia,2020-04-29,438,4
Tasmania,Australia,2020-04-29,219,12
Victoria,Australia,2020-04-29,1361,18
Western Australia,Australia,2020-04-29,551,8
Australian Capital Territory,Australia,2020-04-30,106,3
New South Wales,Australia,2020-04-30,3025,41
Northern Territory,Australia,2020-04-30,28,0
Queensland,Australia,2020-04-30,1033,6
South Australia,Australia,2020-04-30,438,4
Tasmania,Australia,2020-04-30,221,13
Victoria,Australia,2020-04-30,1364,18
Western Australia,Australia,2020-04-30,551,8
Australian Capital Territory,Australia,2020-05-01,106,3
New South Wales,Australia,2020-05-01,3030,41
Northern Territory,Australia,2020-05-01,27,0
Queensland,Australia,2020-05-01,1034,6
South Australia,Australia,2020-05-01,438,4
Tasmania,Australia,2020-05-01,221,13
Victoria,Australia,2020-05-01,1371,18
Western Australia,Australia,2020-05-01,551,8
Australian Capital Territory,Australia,2020-05-02,106,3
New South Wales,Australia,2020-05-02,3035,42
Northern Territory,Australia,2020-05-02,29,0
Queensland,Australia,2020-05-02,1035,6
South Australia,Australia,2020-05-02,438,4
Tasmania,Australia,2020-05-02,221,13
Victoria,Australia,2020-05-02,1384,18
Western Australia,Australia,2020-05-02,551,8
Australian Capital Territory,Australia,2020-05-03,106,3
New South Wales,Australia,2020-05-03,3033,42
Northern Territory,Australia,2020-05-03,29,0
Queensland,Australia,2020-05-03,1038,6
South Australia,Australia,2020-05-03,438,4
